userName Labels,Major Labels,Department Labels,program labels,researchExp,industryExp,internExp,journalPubs,Term Label,confPubs,University Labels,admit,normalized_cgpa,normalized_topper_cgpa,greTotal
,,,,,0.0,,,,,52.0,,,,
,,,1.0,,,,,,,,,0.75,,
,,,,,,,,,,,0.0,,0.916,
,,,,,,,,,,,,0.765,,
7722.0,,,,,,,,,,52.0,0.0,,,319.0
,20.0,,,,,,,,,,,,,
7745.0,,,,,,,,,,52.0,,,,
,,,,,,,,,,52.0,,,,323.0
7765.0,,,,,,,0.0,,,52.0,0.0,0.801,0.892,
,,52.0,,,,,,,,52.0,0.0,,,313.0
7823.0,,,,,,,,,,,0.0,0.69,,
,,,,,,0.0,,,,,,,,320.0
,,,,,,,,,,,0.0,0.858,0.858,322.0
7890.0,,,,,,,,,,52.0,,,,
7891.0,,,,,,,,1.0,,52.0,,,,
,,,,,,,,,,52.0,0.0,,0.84,322.0
,,,,,,,0.0,,,,,0.863,,329.0
7943.0,20.0,,1.0,,,,,,,,,,,310.0
7970.0,,,,,0.0,,,,,,,0.873,,
,,,,,,0.0,,,,,0.0,,0.671,324.0
,,,,,,,0.0,,,,,,,
,,,,,,0.0,,,,,,,,
,,,,,,,,,,,,0.767,,
,,,,,,,,,,,,,,
8093.0,,,,,,,,,,,,0.894,0.926,
8096.0,,20.0,,,,,,,,,0.0,,,
,,,,,,,,,,,0.0,,,
8164.0,,,,,0.0,,,,,,,,,
8165.0,,,,,,,,1.0,,52.0,,,0.88,
,,20.0,,,0.0,,,,0.0,52.0,,,,321.0
,,,,,,,,,0.0,,,,0.89,
,,,,,0.0,,,,0.0,,,,,324.0
,20.0,20.0,,0.0,,,,,,,0.0,0.834,,313.0
,,,,,,,0.0,,,,0.0,0.929,0.945,
,,18.0,,,,,,,,52.0,0.0,,,316.0
8397.0,,,,,,,,,,52.0,0.0,0.845,0.94,
8467.0,,,,,,0.0,,,,52.0,,,,
8468.0,,,,,,,,,,52.0,,,0.77,
,,,,,,,,,,52.0,,,0.98,
8505.0,,20.0,,,,,,,,,0.0,0.83,,327.0
,,,,,,,0.0,,,52.0,0.0,0.93,0.94,318.0
8556.0,,20.0,,,,,,,1.0,,,,,
8642.0,28.0,,,,,,,,,,0.0,0.78,0.78,
,,,,,,,,,,,0.0,,0.98,
,,,,,,,0.0,,,,,,,322.0
,,,,,48.0,,0.0,,,52.0,,,,327.0
,,,,,,,,,,52.0,,,,331.0
,,,,,,,,,,,,,0.87,322.0
8723.0,,,,,,,0.0,,,52.0,0.0,,,322.0
8735.0,,,,0.0,,,,,,52.0,,,,326.0
,,,,,,,,,,52.0,0.0,,0.91,
8754.0,,,,,,,,,,52.0,0.0,,0.77,
8768.0,,,,,0.0,0.0,,,,,,,,311.0
,,,,,,,,,,,0.0,0.895,,
,,,,,,,0.0,,,52.0,0.0,,,
8837.0,,,1.0,,,,,,,,0.0,0.61,0.8,
8864.0,39.0,,,,,,,,,,,,,
8876.0,,,,0.0,,,,,,,,,,
,,,,,,,,,,52.0,,0.7,,320.0
8889.0,,,,,,0.0,,,,,,,0.85,
8913.0,,,,,,,,,,,,,,329.0
8915.0,,27.0,,,,,,,,,0.0,,0.982,
,20.0,,,,51.0,,,,,52.0,,,0.95,
9028.0,,,,,,,,,0.0,,0.0,0.912,0.93,
,,,,,,,,1.0,,52.0,,,,327.0
,,,,,,,,,,,0.0,0.725,,311.0
,,,,,,,,,,52.0,0.0,0.83,,327.0
9109.0,,,,,,,,,,,,,0.99,
,,,,,,,0.0,,,52.0,0.0,0.7561,,
9177.0,,,,,,0.0,0.0,,,52.0,0.0,0.898,0.97,318.0
,,,,,,,0.0,,,52.0,,,,313.0
,,,,,,,,,,,,,,
9198.0,,,,,,,,,0.0,52.0,0.0,0.78,,324.0
,,,,,,,,,,,,0.713,,
,20.0,,,,,,,,,52.0,,,,321.0
9237.0,,,,0.0,,,,,,,0.0,0.786,0.9,
,,,,,,,,,,,,0.86,,326.0
,,,,,,,,,0.0,52.0,,,0.877,
,,,,,,,,,,52.0,0.0,,,
,,,,,,,,,,,,0.73,,
9337.0,,,,,,,0.0,,,52.0,,0.8,0.8,310.0
,,,,,,,,,,52.0,0.0,0.7132,0.8,319.0
9369.0,,,,,0.0,,,,,,,0.953,0.973,318.0
9375.0,,,,,,,0.0,,0.0,,,,,331.0
9394.0,,,,,,,,,,,,0.8,0.81,
9402.0,,,,,,,,,,,0.0,,,
,,,,,,,,,,,0.0,,,
,,,,,,,,,,,0.0,0.683,0.8,
9465.0,,,,,22.0,,,,,,,,0.92,
,,,,,,,,1.0,,,,,,
9545.0,,,,0.0,,,,,,,0.0,,,
9553.0,,,,,,,,,,,,0.8787,,323.0
9570.0,,,,,,0.0,,,,,,,,324.0
9579.0,,,,,,,,,,,0.0,,,319.0
,,,,,,,,,,,,,0.97,
,,,,,,,,,,52.0,0.0,,0.78,
9640.0,,,,,,,,,,,0.0,,0.74,
9663.0,,,,,,,,,0.0,,,0.7771,0.84,
9673.0,,,,,,,,,0.0,52.0,,,,307.0
,,,,,,,,,,,,,,304.0
,,,,,,,,,,,0.0,0.7,,
9824.0,,,,,,,,,,52.0,,,0.745,
,,,,,,,,,,,0.0,0.809,0.94,
9847.0,,,,,,0.0,0.0,1.0,,,0.0,0.7904,,320.0
9854.0,20.0,,,,,,,,,,,0.676,,332.0
,,,,,,,,,,52.0,,,,
,,,,,,,,,,52.0,0.0,,0.95,
,20.0,,1.0,,,,0.0,,,,,,0.98,
,,,,,,,0.0,,,52.0,,7.11,7.11,
10087.0,,52.0,,,,,,1.0,,52.0,0.0,,0.75,
,,,,,,,,,0.0,,0.0,,,331.0
